video_title,publish_date,total_views,video_url,thumbnail_url
"Complete 𝗔𝗖𝗜𝗗, 𝗕𝗔𝗦𝗘𝗦 𝗔𝗡𝗗 𝗦𝗔𝗟𝗧 in 110 Minutes | Class 10th Board Exam",03 Mar 2023,"4,866 views",https://www.youtube.com/watch?v=46CNHP9wBAs,https://i.ytimg.com/vi/46CNHP9wBAs/hqdefault.jpg
Complete 𝗖𝗛𝗘𝗠𝗜𝗖𝗔𝗟 𝗥𝗘𝗔𝗖𝗧𝗜𝗢𝗡  in 90 Minutes | Class 10th Board Exam,03 Mar 2023,"14,646 views",https://www.youtube.com/watch?v=1Wk5gJtZ2sQ,https://i.ytimg.com/vi/1Wk5gJtZ2sQ/hqdefault.jpg
Complete 𝐇𝐄𝐑𝐄𝐃𝐈𝐓𝐘 𝐀𝐍𝐃 𝐄𝐕𝐎𝐋𝐔𝐓𝐈𝐎𝐍 in 2 Hours|| Class 10th Board Exam,02 Mar 2023,"38,616 views",https://www.youtube.com/watch?v=iM_hVnElC-Q,https://i.ytimg.com/vi/iM_hVnElC-Q/hqdefault.jpg
Complete 𝗛𝗢𝗪 𝗗𝗢 𝗢𝗥𝗚𝗔𝗡𝗜𝗦𝗠𝗦 𝗥𝗘𝗣𝗥𝗢𝗗𝗨𝗖𝗘 in 1 Hours 50 Minutes|| Class 10th Board Exam,02 Mar 2023,"17,563 views",https://www.youtube.com/watch?v=Prly9d7LoAQ,https://i.ytimg.com/vi/Prly9d7LoAQ/hqdefault.jpg
Complete 𝗢𝗨𝗥 𝗘𝗡𝗩𝗜𝗥𝗢𝗡𝗠𝗘𝗡𝗧 in 1 Hour 30 Minutes | Class 10th Board Exam,02 Mar 2023,"32,307 views",https://www.youtube.com/watch?v=AvwBDiCWSEM,https://i.ytimg.com/vi/AvwBDiCWSEM/hqdefault.jpg
